2339	2649	2565	2637	2638	2389	2638	2507	2589	2668	2682	2605	2641	2625
2310	2508	2512	2342	2329	2322	2361	2451	2286	2517	2454	2595	2592	2501
2308	2494	2479	2338	2302	2312	2355	2398	2274	2279	2310	2250	2420	2494
2289	2207	2325	2326	2290	2299	2189	2230	2258	2150	2286	2242	2331	2428
2255	2202	2252	2297	2265	2253	2182	2211	2187	2141	2259	2131	2234	2413
2193	2196	2244	2289	2202	2228	2140	2192	2179	2133	2211	2128	2212	2255
2137	2165	2143	2181	2191	2210	2080	2152	2128	2093	2052	2042	2009	2247
2118	1999	2035	1962	2062	2198	2009	2045	2057	2039	2019	1989	1870	1698
2029	1898	1765	1950	1874	2034	2006	1984	1993	2029	2015	1985	1848	1668
1960	1621	1615	1616	1787	1695	1977	1769	1985	1889	1650	1972	1780	1610
